M64,R64,C64,L64,V64,M63,R63,C63,L63,V63,M62,R62,C62,L62,V62,M61,R61,C61,L61,V61,M60,R60,C60,L60,V60,M59,R59,C59,L59,V59,M58,R58,C58,L58,V58,M57,R57,C57,L57,V57,M56,R56,C56,L56,V56,M55,R55,C55,L55,V55
1.0,1.0,1.9096727591826244,0.2857142857647307,76.5343370956338,1.0,1.0,2.094956845199609,0.2857142857647307,84.85769308910695,1.0,1.0,2.231093280841166,0.2857142857647307,93.07139659345388,1.0,1.0,2.330748417362803,0.2857142857647307,101.21758040189448,1.0,1.0,2.399176546403888,0.2857142857647307,109.32336787138556,1.0,1.0,2.440319419716644,0.2857142857647307,117.40809861363033,1.0,1.0,2.4663052442483098,0.2857142857647307,125.48546817406944,1.0,1.0,2.474696223162029,0.2857142857647307,133.5656793857836,1.0,1.0,2.4696154937814154,0.2857142857647307,141.6568711187547,1.0,1.0,2.453710785427691,0.2857142857647307,149.7664567994557
3.0,1.0,2.0556377328724813,0.2857142857142857,77.7013758344124,3.0,1.0,2.2337816295413626,0.2857142857142857,85.96819009387036,3.0,1.0,2.3601705040499095,0.2857142857142857,94.14397092435345,3.0,1.0,2.4533699304292362,0.2857142857142857,102.26446406044592,3.0,1.0,2.5149097884344744,0.2857142857142857,110.35377757673135,3.0,1.0,2.551396315604299,0.2857142857142857,118.42875626621964,3.0,1.0,2.5691086567124266,0.2857142857142857,126.50128579106918,3.0,1.0,2.570934628475489,0.2857142857142857,134.5804460840204,3.0,1.0,2.559855357367903,0.2857142857142857,142.6736474674082,3.0,1.0,2.5368300466494484,0.2857142857142857,150.78780362567935
5.0,1.0,2.2050431660248244,0.28571428638256763,78.82113549930632,5.0,1.0,2.3681369745288112,0.28571428638256763,87.04030576186744,5.0,1.0,2.488980174988649,0.28571428638256763,95.18394652518796,5.0,1.0,2.574689605551324,0.28571428638256763,103.28311086154606,5.0,1.0,2.630150826784369,0.28571428638256763,111.35923373174441,5.0,1.0,2.658350226874815,0.28571428638256763,119.4268484682616,5.0,1.0,2.6678537399463886,0.28571428638256763,127.49636891305381,5.0,1.0,2.663783492757765,0.28571428638256763,135.57594749224776,5.0,1.0,2.6453282541591756,0.28571428638256763,143.67237082445791,5.0,1.0,2.6175389223097296,0.28571428638256763,151.79210839346405
7.0,1.0,2.352594854421344,0.2857142857184561,79.89858027654677,7.0,1.0,2.5106374929389594,0.2857142857184561,88.07733790972908,7.0,1.0,2.6214182347674164,0.2857142857184561,96.1937618881091,7.0,1.0,2.695674535989588,0.2857142857184561,104.27553616111322,7.0,1.0,2.743126429252439,0.2857142857184561,112.34132782384555,7.0,1.0,2.764409468399977,0.2857142857184561,120.40369966061861,7.0,1.0,2.766627938673315,0.2857142857184561,128.47186803454488,7.0,1.0,2.7557221482305234,0.2857142857184561,136.55320301972856,7.0,1.0,2.730590631872502,0.2857142857184561,144.653953234673,7.0,1.0,2.69518416477466,0.2857142857184561,152.78019297667845
9.0,1.0,2.5067274397552834,0.2857142857390341,80.93751374775,9.0,1.0,2.652254742014024,0.2857142857390341,89.08198030133171,9.0,1.0,2.75575406949017,0.2857142857390341,97.17579731273712,9.0,1.0,2.8197169468944807,0.2857142857390341,105.24363310069481,9.0,1.0,2.8567503959416616,0.2857142857390341,113.30156785547226,9.0,1.0,2.8702060690771485,0.2857142857390341,121.3605813801662,9.0,1.0,2.8656653577414235,0.2857142857390341,129.42889012260966,9.0,1.0,2.8458285521717905,0.2857142857390341,137.5131984718744,9.0,1.0,2.8133870526795435,0.2857142857390341,145.6192828770832,9.0,1.0,2.7731925790423464,0.2857142857390341,153.7528579538784
11.0,1.0,2.66609857343008,0.28571428583304626,81.94138412690394,11.0,1.0,2.799984995211921,0.28571428583304626,90.0567876834494,11.0,1.0,2.890152838029143,0.28571428583304626,98.1321617995579,11.0,1.0,2.9423323402322468,0.28571428583304626,106.18902876539907,11.0,1.0,2.9705405746309754,0.28571428583304626,114.24128703671671,11.0,1.0,2.975363201432617,0.28571428583304626,122.29863048886683,11.0,1.0,2.962079933542573,0.28571428583304626,130.368433574555,11.0,1.0,2.9342516004626398,0.28571428583304626,138.45682664492458,11.0,1.0,2.898036422916569,0.28571428583304626,146.56915371957936,11.0,1.0,2.850018822682987,0.28571428583304626,154.71081971559272
13.0,1.0,2.8221532982344124,0.2857142857173153,82.91291053074141,13.0,1.0,2.9446225106718407,0.2857142857173153,91.00414016037209,13.0,1.0,3.0200190965071356,0.2857142857173153,99.06469932713888,13.0,1.0,3.0638637070933257,0.2857142857173153,107.1131534902707,13.0,1.0,3.081836479017579,0.2857142857173153,115.16167671754106,13.0,1.0,3.077814236971538,0.2857142857173153,123.2188737016355,13.0,1.0,3.0564074059781294,0.2857142857173153,131.29140479226803,13.0,1.0,3.0226598489459495,0.2857142857173153,139.38489239688283,13.0,1.0,2.9783032122006836,0.2857142857173153,147.50430362824068,13.0,1.0,2.926111216507488,0.2857142857173153,155.65474198565852
15.0,1.0,2.981439601843364,0.2857142867417437,83.85458639141078,15.0,1.0,3.087084891643837,0.2857142867417437,91.92613509006704,15.0,1.0,3.150550860979816,0.2857142867417437,99.97501651004977,15.0,1.0,3.182449936619805,0.2857142867417437,108.0173292364238,15.0,1.0,3.1905054545664346,0.2857142867417437,116.06385304843957,15.0,1.0,3.1776383344202577,0.2857142867417437,124.12228418361522,15.0,1.0,3.1501281383827253,0.2857142867417437,132.19866401976356,15.0,1.0,3.110939449698539,0.2857142867417437,140.29815618578317,15.0,1.0,3.0589632382506986,0.2857142867417437,148.42540134005986,15.0,1.0,3.001694264731156,0.2857142867417437,156.5852046032722
17.0,1.0,3.137774157864638,0.28571428580229186,84.76890582093837,17.0,1.0,3.2274060323312312,0.28571428580229186,92.82469145312311,17.0,1.0,3.2787227998921997,0.28571428580229186,100.86456217700238,17.0,1.0,3.301860086430074,0.28571428580229186,108.90274381343157,17.0,1.0,3.299756463855725,0.28571428580229186,116.94883077671601,17.0,1.0,3.2781576585620615,0.28571428580229186,125.00974848281355,17.0,1.0,3.242192449312692,0.28571428580229186,133.09099521273228,17.0,1.0,3.1952460390985697,0.28571428580229186,141.19733873357484,17.0,1.0,3.139358785331602,0.28571428580229186,149.33309523847888,17.0,1.0,3.0759498508642102,0.28571428580229186,157.5027764877581
19.0,1.0,3.295976282452286,0.2857142857142857,85.65812042626959,19.0,1.0,3.3727754563949803,0.2857142857142857,93.7014583515322,19.0,1.0,3.4120636884321702,0.2857142857142857,101.73469899394424,19.0,1.0,3.4235873965667856,0.2857142857142857,109.77053919067858,19.0,1.0,3.4111756778393874,0.2857142857142857,117.81759405597256,19.0,1.0,3.3802561529596806,0.2857142857142857,125.88212656417002,19.0,1.0,3.338875088084272,0.2857142857142857,133.96915399332102,19.0,1.0,3.2824747193415433,0.2857142857142857,142.08309246587862,19.0,1.0,3.2191352376589952,0.2857142857142857,150.22795293387438,19.0,1.0,3.1508327124118396,0.2857142857142857,158.40794698577034
